plant,disease,area_m2,severity,lat,lon,date
Potato,Late Blight,4079,0.14,-0.224,-78.7324,2025-09-26
Potato,Black Scurf,3946,0.76,-3.0744,-79.1386,2025-10-22
Tomato,Late Blight,696,0.19,-1.7318,-78.0518,2025-04-15
Tomato,Late Blight,540,0.34,-1.9037,-78.5986,2025-10-16
Tomato,Target Spot,4248,0.42,-1.7162,-78.6198,2025-05-08
Tomato,Bacterial Spot,543,0.66,-1.0875,-78.4954,2025-07-25
Tomato,Bacterial Spot,1264,0.73,-2.1699,-79.7711,2025-05-18
Potato,Early Blight,346,0.42,-2.0357,-79.7056,2025-04-03
Tomato,Late Blight,1133,0.74,-1.0479,-77.8083,2025-04-09
Potato,Black Scurf,3797,0.79,-0.9113,-78.7084,2025-10-23
Tomato,Late Blight,3469,0.63,-1.6311,-78.545,2025-06-15
Tomato,Yellow Leaf Curl Virus,1474,0.25,-1.0436,-77.7044,2026-03-03
Potato,Common Scab,4237,0.65,-1.1805,-79.424,2026-03-22
Potato,Early Blight,453,0.64,-1.355,-78.5699,2025-09-27
Tomato,Leaf Mold,2483,0.36,-1.7151,-78.5408,2025-10-11
Tomato,Late Blight,3346,0.23,0.0589,-78.3911,2026-02-04
Tomato,Leaf Mold,2862,0.79,-0.3473,-77.1433,2025-08-11
Tomato,Bacterial Spot,741,0.65,-1.1309,-80.2828,2025-12-25
Tomato,Leaf Mold,426,0.56,-0.9882,-80.2852,2026-03-16
Potato,Early Blight,1585,0.87,-0.9099,-79.4778,2025-11-04
Potato,Black Scurf,3647,0.56,-1.1081,-78.3789,2026-01-29
Tomato,Late Blight,80,0.12,-1.0085,-77.8954,2025-09-06
Potato,Common Scab,298,0.37,-0.9803,-77.9259,2025-10-14
Potato,Early Blight,3716,0.59,-0.9501,-78.6995,2025-04-28
Potato,Late Blight,1327,0.12,-3.0692,-78.9967,2025-11-16
Tomato,Bacterial Spot,1311,0.4,0.2693,-78.0088,2025-08-02
Potato,Black Scurf,631,0.75,-1.6952,-78.5952,2025-10-21
Potato,Early Blight,2962,0.99,-2.7561,-79.0306,2025-05-25
Tomato,Spider Mites,3437,0.22,-1.1642,-79.3893,2025-09-27
Potato,Late Blight,875,0.6,-1.4488,-78.7348,2025-08-03
Potato,Common Scab,667,0.15,-0.9306,-77.6776,2025-10-02
Tomato,Target Spot,4481,0.15,-2.7463,-79.1613,2025-09-12
Tomato,Leaf Mold,3045,0.38,-3.9088,-79.1764,2026-02-02
Tomato,Septoria Leaf Spot,3633,0.52,-1.6143,-77.8728,2025-04-04
Potato,Common Scab,1686,0.29,-1.2426,-78.1559,2025-12-20
Potato,Black Scurf,877,0.71,-1.5913,-78.693,2025-11-25
Potato,Black Scurf,1393,0.47,-1.5899,-78.68,2025-10-18
Tomato,Bacterial Spot,3526,0.76,-0.966,-78.3203,2025-04-18
Potato,Black Scurf,1966,0.23,-0.3987,-77.1551,2025-12-14
Tomato,Yellow Leaf Curl Virus,539,0.93,0.4734,-77.984,2025-07-23
Potato,Common Scab,1851,0.22,-4.0354,-79.3256,2026-03-08
Potato,Early Blight,3633,0.53,-1.2147,-78.5092,2025-12-20
Potato,Common Scab,2483,0.36,-3.0692,-79.3494,2025-05-20
Potato,Black Scurf,3315,0.11,-2.4607,-78.0599,2026-03-18
Tomato,Leaf Mold,1522,0.48,-0.1768,-76.851,2025-11-18
Tomato,Bacterial Spot,1846,0.75,-1.0838,-78.7894,2026-02-17
Potato,Early Blight,1271,0.85,-2.1958,-80.1549,2025-12-24
Tomato,Septoria Leaf Spot,489,0.38,-2.252,-79.8288,2025-06-01
Tomato,Yellow Leaf Curl Virus,3493,0.49,0.0547,-76.8426,2025-09-30
Tomato,Late Blight,1070,0.72,-4.1385,-79.0502,2025-12-25
Potato,Early Blight,2952,0.54,-4.0146,-79.2195,2025-05-03
Tomato,Leaf Mold,2281,0.14,-1.9137,-78.8039,2026-01-05
Tomato,Spider Mites,2235,0.23,-0.8846,-79.5246,2025-12-02
Potato,Late Blight,4358,0.94,0.2862,-77.908,2026-02-03
Potato,Black Scurf,872,0.56,-1.3748,-78.7598,2025-08-06
Potato,Early Blight,3265,0.4,-1.0894,-80.1629,2025-12-14
Potato,Common Scab,3215,0.73,0.0549,-77.0561,2026-01-28
Tomato,Septoria Leaf Spot,4751,0.88,-2.2812,-78.0825,2026-01-16
Potato,Early Blight,4472,0.54,-0.4049,-76.9085,2025-08-06
Tomato,Yellow Leaf Curl Virus,1166,0.33,-1.515,-77.8879,2025-09-24
Potato,Early Blight,3887,0.73,0.1958,-77.9589,2025-10-17
Tomato,Spider Mites,1037,0.63,-2.4167,-78.0435,2025-04-22
Potato,Early Blight,140,0.57,-1.5051,-77.9378,2025-10-24
Tomato,Septoria Leaf Spot,1165,0.57,-1.2222,-77.5986,2025-05-15
Tomato,Target Spot,321,0.65,0.398,-78.3119,2025-09-27
Potato,Early Blight,1164,0.86,0.4359,-78.1835,2025-05-04
Potato,Common Scab,4192,0.91,0.343,-76.9842,2025-09-08
Potato,Late Blight,2520,0.84,-3.9664,-79.3341,2025-11-23
Tomato,Septoria Leaf Spot,3724,0.46,-2.2822,-78.0111,2026-03-03
Tomato,Target Spot,2059,0.17,-1.6874,-78.1126,2025-08-18
Tomato,Target Spot,372,0.79,-1.6661,-78.4572,2026-01-29
Potato,Late Blight,4394,0.11,-1.1477,-77.7481,2025-11-12
Potato,Early Blight,4097,0.83,-1.4719,-78.6949,2026-03-07
Potato,Common Scab,187,0.7,-2.1857,-79.759,2026-03-07
Tomato,Leaf Mold,3189,0.16,-1.33,-78.6021,2026-01-13
Tomato,Septoria Leaf Spot,3217,0.35,0.1546,-77.0898,2026-02-24
Tomato,Target Spot,2074,0.95,-0.3975,-77.0916,2025-04-07
Potato,Early Blight,3161,0.66,-2.1949,-78.0608,2025-06-25
Tomato,Yellow Leaf Curl Virus,694,0.74,-2.9867,-78.9981,2025-09-02
Potato,Early Blight,2875,0.82,0.1886,-78.1897,2025-07-18
Potato,Late Blight,745,0.33,-0.881,-78.5447,2025-05-30
Tomato,Late Blight,3730,0.17,-0.8269,-79.4124,2025-09-12
Potato,Late Blight,4157,0.91,-4.273,-79.3131,2025-08-13
Potato,Black Scurf,4501,0.69,-2.3713,-78.3552,2025-09-13
Potato,Early Blight,2792,0.23,-2.2522,-79.8424,2025-11-09
Potato,Common Scab,629,0.83,-0.9126,-77.7834,2025-11-21
Potato,Early Blight,2448,0.86,-1.6327,-78.7198,2025-10-02
Tomato,Bacterial Spot,1605,0.59,-1.0911,-79.4031,2025-11-07
Potato,Black Scurf,2007,0.17,-1.6059,-78.5012,2026-03-07
Tomato,Yellow Leaf Curl Virus,515,0.44,0.0221,-76.9726,2026-01-25
Potato,Black Scurf,305,0.42,-1.042,-77.8173,2025-12-30
Potato,Early Blight,4387,0.42,-3.9033,-79.1408,2025-05-03
Potato,Common Scab,406,0.47,-0.4002,-76.7999,2025-11-18
Potato,Late Blight,1308,0.39,-1.1366,-78.7773,2025-11-21
Potato,Late Blight,405,0.63,-1.0255,-79.4282,2025-10-26
Potato,Black Scurf,1053,0.79,-0.2204,-78.2872,2026-01-31
Tomato,Spider Mites,1252,0.39,-0.9802,-77.628,2025-06-29
Tomato,Target Spot,3079,0.29,-2.0713,-80.0168,2025-03-26
Potato,Common Scab,307,0.47,-0.2344,-78.5222,2025-04-04
Potato,Black Scurf,2676,0.8,0.2985,-78.182,2025-04-04
Potato,Early Blight,3975,0.21,-1.9266,-79.8336,2026-01-24
Tomato,Yellow Leaf Curl Virus,2311,0.4,0.2218,-78.3133,2026-03-15
Potato,Common Scab,1143,0.86,-1.5363,-77.9216,2025-04-19
Tomato,Leaf Mold,4253,0.9,-1.0328,-79.5338,2025-08-17
Potato,Early Blight,708,0.16,-1.0559,-80.3264,2025-09-28
Potato,Common Scab,1555,0.31,0.213,-77.8294,2025-06-24
Potato,Black Scurf,3702,0.45,-0.5378,-76.8644,2026-02-07
Potato,Black Scurf,3692,0.41,-1.0288,-79.6929,2025-04-11
Potato,Common Scab,3270,0.38,-1.0756,-78.6312,2025-04-16
Tomato,Yellow Leaf Curl Virus,728,0.46,-1.233,-78.5582,2026-03-13
Potato,Common Scab,4767,0.17,-0.2633,-78.4159,2025-10-15
Potato,Early Blight,3710,0.3,-3.918,-79.2238,2025-04-04
Tomato,Yellow Leaf Curl Virus,629,0.21,-2.3299,-79.9095,2025-04-04
Tomato,Leaf Mold,4859,0.88,-0.9149,-78.626,2025-12-03
Potato,Late Blight,1492,0.56,-1.0706,-80.4522,2025-08-13
Tomato,Late Blight,1791,0.22,-1.7079,-78.5347,2025-10-21
Potato,Early Blight,3865,0.93,-1.0931,-78.684,2025-05-04
Tomato,Late Blight,2095,0.25,-0.9042,-79.4715,2025-07-20
Tomato,Leaf Mold,654,0.64,-1.6523,-78.5636,2025-03-26
Potato,Early Blight,800,0.53,-1.2669,-77.9377,2025-04-27
Potato,Black Scurf,4614,0.66,0.5818,-78.0661,2025-10-06
Potato,Common Scab,2129,0.42,-1.1014,-78.5254,2025-06-20
Potato,Black Scurf,2965,0.76,-3.0234,-79.1383,2025-12-05
Tomato,Spider Mites,1788,0.58,-0.2264,-77.0584,2025-12-17
Tomato,Target Spot,153,0.34,0.1283,-78.1015,2025-07-10
Tomato,Target Spot,4041,0.3,-1.1271,-78.603,2025-10-28
Potato,Late Blight,264,0.89,-3.9079,-79.029,2025-10-29
Tomato,Spider Mites,4275,0.23,-0.9628,-80.1183,2026-01-24
Potato,Late Blight,55,0.62,-0.4401,-77.0753,2026-03-09
Tomato,Late Blight,4310,0.25,-2.4099,-78.0287,2025-07-20
Potato,Black Scurf,637,0.89,-1.0017,-79.3491,2026-02-10
Tomato,Spider Mites,1124,0.53,-2.3751,-77.9777,2025-12-27
Potato,Late Blight,3650,0.57,-1.0283,-80.2888,2025-04-10
Potato,Late Blight,581,0.51,-1.1147,-79.3113,2025-10-08
Potato,Late Blight,4255,0.38,0.1738,-76.9842,2026-01-03
Potato,Black Scurf,2265,0.97,0.0972,-76.9952,2025-10-10
Potato,Late Blight,2697,0.89,-2.2663,-80.0228,2025-07-03
Potato,Common Scab,1875,0.67,-0.8738,-78.5801,2025-11-30
Potato,Late Blight,4383,0.36,-0.8634,-77.7739,2025-12-19
Potato,Common Scab,1219,0.4,-0.1509,-78.3913,2026-02-10
Potato,Early Blight,1361,0.32,-1.2082,-78.6737,2025-10-05
Tomato,Leaf Mold,3971,0.26,-0.0355,-76.7992,2025-11-30
Tomato,Target Spot,2332,0.29,-1.0261,-79.3526,2025-04-20
Potato,Black Scurf,2134,0.57,-1.2629,-78.6807,2025-08-30
Tomato,Yellow Leaf Curl Virus,2413,0.34,-0.1326,-76.7524,2025-10-28
Tomato,Late Blight,4533,0.22,-0.9513,-80.2038,2025-06-11
Potato,Early Blight,2969,0.61,-0.5125,-76.8556,2025-05-31
Potato,Early Blight,181,0.4,0.2994,-78.2222,2025-05-02
Potato,Late Blight,1181,0.57,-0.1842,-78.3985,2025-04-12
Potato,Late Blight,2792,0.24,-0.9956,-77.9017,2025-04-30
Tomato,Spider Mites,2061,0.41,0.2403,-76.9825,2025-04-06
Tomato,Spider Mites,1172,0.34,-1.2991,-78.1027,2025-07-07
Tomato,Late Blight,4277,0.15,-1.7038,-78.5061,2025-10-13
Tomato,Late Blight,4363,0.28,-0.9557,-79.4084,2025-05-10
Potato,Late Blight,2285,0.67,-0.2809,-77.0836,2026-01-11
Tomato,Target Spot,4687,0.57,-1.0006,-80.4666,2025-11-14
Tomato,Bacterial Spot,4719,0.72,-1.6487,-78.5125,2025-12-13
Potato,Common Scab,1024,0.53,-0.9415,-78.7514,2025-06-19
Potato,Black Scurf,363,0.38,-2.9416,-78.9276,2025-07-26
Potato,Black Scurf,3215,0.17,-1.2545,-78.1453,2025-07-24
Potato,Black Scurf,3119,0.75,-3.1364,-79.0753,2026-03-18
Tomato,Spider Mites,2334,0.93,-1.7003,-78.53,2025-05-29
Potato,Early Blight,2445,0.53,-1.0811,-79.6759,2025-07-08
Tomato,Late Blight,3783,0.13,-0.5467,-77.2057,2025-06-28
Tomato,Target Spot,4281,0.76,0.2017,-76.8023,2025-03-30
Potato,Late Blight,2092,0.36,-1.7579,-78.4821,2025-07-26
Tomato,Spider Mites,3097,0.3,-0.2948,-78.5677,2026-01-06
Tomato,Target Spot,3672,0.4,-0.3387,-78.5614,2025-07-13
Tomato,Septoria Leaf Spot,673,0.93,-2.8743,-78.832,2026-01-10
Tomato,Leaf Mold,4205,0.12,-0.2874,-78.4706,2026-02-06
Potato,Late Blight,3975,0.86,-0.0024,-76.5884,2026-02-25
Tomato,Late Blight,727,0.27,-0.0873,-78.357,2025-11-05
Potato,Black Scurf,153,0.17,-4.0503,-79.3986,2026-03-22
Tomato,Target Spot,2062,0.44,0.4722,-78.0527,2025-10-15
Potato,Black Scurf,3572,0.88,-2.3256,-79.7596,2025-09-02
Potato,Black Scurf,4426,0.67,-0.2605,-76.9367,2025-11-30
Tomato,Bacterial Spot,2013,0.58,-0.0032,-78.5308,2025-09-08
Tomato,Target Spot,215,0.27,-1.1007,-80.1308,2025-04-22
Potato,Black Scurf,393,0.12,-0.4841,-77.0431,2026-03-10
Tomato,Septoria Leaf Spot,4897,0.48,-0.9411,-78.6083,2026-01-23
Tomato,Septoria Leaf Spot,2347,0.81,-1.1008,-77.8673,2025-09-21
Tomato,Leaf Mold,4532,0.14,0.2415,-76.7054,2026-01-16
Potato,Black Scurf,2347,0.18,-2.1359,-79.7664,2025-11-27
Tomato,Septoria Leaf Spot,1531,0.46,-2.3802,-77.8161,2026-03-03
Tomato,Late Blight,2907,0.74,-1.434,-78.5195,2025-08-03
Potato,Late Blight,2805,0.87,-0.26,-78.3627,2025-09-13
Potato,Early Blight,3040,0.9,-2.8652,-79.0286,2025-05-31
Tomato,Spider Mites,2663,0.33,-0.8271,-78.5897,2026-01-01
Tomato,Spider Mites,162,0.84,-0.484,-76.9667,2025-06-05
Potato,Late Blight,994,0.31,-0.0266,-76.9984,2025-06-23
Tomato,Bacterial Spot,508,0.37,-1.38,-77.9064,2025-11-08
Tomato,Leaf Mold,3868,0.6,0.0831,-76.7662,2025-04-17
Tomato,Yellow Leaf Curl Virus,1280,0.74,-3.7931,-79.0982,2025-07-29
Potato,Black Scurf,1286,0.87,-0.8032,-77.778,2025-11-09
Potato,Black Scurf,1805,0.35,-1.0811,-80.3243,2025-09-30
Potato,Black Scurf,261,0.19,0.1111,-76.7586,2025-09-05
Tomato,Yellow Leaf Curl Virus,2851,0.23,-2.326,-79.8451,2026-01-14
Tomato,Target Spot,1454,0.68,-0.8579,-80.2382,2025-09-28
Tomato,Target Spot,4127,0.81,-2.1805,-79.8029,2026-03-20
Potato,Common Scab,4254,0.77,-1.546,-78.5854,2025-12-06
Tomato,Yellow Leaf Curl Virus,4255,0.95,-0.8736,-78.4924,2026-01-18
Potato,Early Blight,4449,0.86,-1.3054,-78.3854,2025-10-16
Tomato,Septoria Leaf Spot,830,0.34,-1.0495,-80.4314,2025-12-06
Tomato,Target Spot,1398,0.58,-1.1424,-79.3172,2025-12-24
Tomato,Target Spot,4876,0.21,-1.5517,-78.6093,2025-08-15
Potato,Common Scab,4679,0.39,-1.4252,-78.0217,2025-10-24
Tomato,Spider Mites,1360,0.34,-0.2316,-78.5863,2025-11-21
Potato,Early Blight,309,0.99,-1.2191,-80.2705,2025-08-05
Potato,Late Blight,3942,0.31,-3.9686,-79.1052,2025-04-25
Tomato,Leaf Mold,4845,0.84,0.2205,-78.5405,2025-05-07
Potato,Late Blight,1995,0.3,-1.4458,-77.7664,2025-10-23
Potato,Early Blight,1393,0.19,-1.7592,-78.5399,2026-01-30
Tomato,Late Blight,3544,0.29,-0.9569,-79.3268,2025-05-11
Tomato,Spider Mites,3577,0.66,-0.8637,-79.4161,2025-03-27
Potato,Late Blight,4946,0.59,-1.6372,-78.7267,2026-02-27
Potato,Early Blight,4062,0.99,-0.612,-76.7941,2025-06-05
Tomato,Target Spot,2013,0.29,-0.3276,-76.9576,2025-07-13
Potato,Common Scab,3400,0.8,0.3611,-78.3554,2025-08-21
Tomato,Leaf Mold,303,0.53,-2.9333,-78.6847,2025-04-03
Tomato,Target Spot,3136,0.44,-0.9172,-77.6871,2025-10-27
Tomato,Spider Mites,1201,0.89,0.2106,-77.8907,2025-10-24
Tomato,Leaf Mold,2534,0.4,-1.2089,-78.6554,2025-09-25
Tomato,Yellow Leaf Curl Virus,2650,0.64,-2.1982,-78.0779,2025-06-08
Tomato,Leaf Mold,1136,0.76,-1.3453,-78.4847,2026-01-29
Tomato,Target Spot,774,0.92,-1.3876,-78.0622,2026-03-17
Tomato,Leaf Mold,4848,0.94,-2.8505,-78.8476,2025-07-21
Potato,Black Scurf,634,0.37,-0.3381,-78.4548,2026-01-28
Tomato,Bacterial Spot,4281,0.94,-1.032,-78.4783,2026-01-31
Tomato,Spider Mites,90,0.24,-2.2999,-77.9405,2025-06-17
Tomato,Bacterial Spot,4053,0.52,-0.8995,-79.4042,2025-06-11
Potato,Early Blight,3345,0.97,-2.894,-78.8716,2025-08-06
Potato,Common Scab,3142,0.76,-1.6765,-78.5816,2025-10-17
Tomato,Leaf Mold,2009,0.11,-3.1383,-78.9864,2026-01-12
Tomato,Bacterial Spot,3487,0.39,-0.5045,-76.8087,2025-12-13
Potato,Common Scab,807,0.89,-2.1774,-79.9393,2026-02-04
Potato,Late Blight,3671,0.24,-3.9975,-79.2973,2025-05-04
Potato,Common Scab,3328,0.51,-0.1388,-78.4559,2025-12-11
Potato,Early Blight,4337,0.39,-2.2429,-78.1764,2026-02-04
Tomato,Target Spot,4447,0.44,-2.7519,-78.8497,2025-10-09
Potato,Common Scab,4610,0.72,-0.8681,-78.695,2025-07-21
Potato,Late Blight,4172,0.15,0.486,-78.0254,2025-09-24
Potato,Black Scurf,58,0.64,-2.3712,-78.1721,2026-03-13
Tomato,Spider Mites,2980,0.7,-1.2346,-80.254,2025-12-20
Potato,Black Scurf,70,0.36,-1.0416,-78.5223,2025-10-25
Tomato,Yellow Leaf Curl Virus,102,0.41,-1.4989,-78.6568,2025-12-09
Tomato,Late Blight,4474,0.61,-1.0189,-79.4717,2025-06-01
Tomato,Yellow Leaf Curl Virus,1914,0.65,-1.095,-77.9188,2025-04-09
Tomato,Late Blight,4150,0.26,-1.74,-77.9966,2025-11-27
Potato,Common Scab,3313,0.76,-0.1028,-78.6471,2026-01-21
Tomato,Target Spot,3072,0.73,-0.002,-76.9577,2025-06-13
Potato,Common Scab,2471,0.72,-2.2092,-79.7898,2025-05-30
Potato,Common Scab,4694,0.22,-1.4635,-78.0149,2025-05-15
Potato,Common Scab,3097,0.42,-1.4069,-78.7349,2026-01-19
Potato,Late Blight,3691,0.59,-1.5091,-77.9328,2025-08-26
Tomato,Spider Mites,517,0.93,-2.4806,-79.7119,2025-11-06
Tomato,Septoria Leaf Spot,87,0.53,-2.2333,-78.2192,2025-10-29
Potato,Black Scurf,4420,0.19,-1.4588,-78.428,2025-08-16
Potato,Late Blight,2501,0.31,-0.9832,-78.6832,2026-02-22
Tomato,Late Blight,3480,0.72,-1.568,-78.4297,2025-11-03
Potato,Black Scurf,1722,0.22,0.2242,-78.063,2025-09-24
Tomato,Leaf Mold,2462,0.57,-1.2522,-80.3421,2025-11-06
Tomato,Target Spot,3753,0.56,-2.3359,-78.0317,2025-12-19
Tomato,Late Blight,663,0.98,-2.1695,-78.1733,2025-12-04
Tomato,Late Blight,4796,0.57,-2.8685,-78.8533,2025-07-04
Tomato,Late Blight,242,0.75,-2.1385,-80.1057,2025-10-22
Tomato,Septoria Leaf Spot,2828,0.19,-1.0446,-77.8502,2025-06-15
Potato,Early Blight,2161,0.9,-0.9784,-78.3205,2025-09-30
Potato,Black Scurf,2439,0.45,-1.2766,-78.773,2026-01-06
Potato,Common Scab,2432,0.59,-3.9304,-79.3656,2026-03-02
Tomato,Bacterial Spot,2331,0.42,-3.8203,-79.1061,2025-08-15
Potato,Early Blight,2360,0.22,-1.5436,-78.6236,2025-07-15
Potato,Early Blight,4643,0.61,-2.8865,-79.0642,2025-04-10
Potato,Common Scab,2942,0.87,-2.4482,-78.2447,2025-10-02
Potato,Early Blight,3058,0.48,-0.1191,-76.8143,2025-04-18
Potato,Late Blight,1510,0.69,-0.951,-78.62,2026-02-18
Tomato,Leaf Mold,3049,0.42,-1.5011,-78.4588,2025-10-10
Potato,Early Blight,3684,0.64,-1.7149,-78.8254,2025-06-23
Tomato,Late Blight,2092,0.27,0.1906,-78.1781,2026-03-12
Tomato,Yellow Leaf Curl Virus,438,0.38,-0.3341,-78.4026,2025-08-22
Potato,Late Blight,4983,0.39,-1.2843,-78.6532,2025-08-18
Tomato,Late Blight,3663,0.39,-4.0599,-79.2039,2025-08-08
Tomato,Yellow Leaf Curl Virus,3920,0.78,0.0081,-76.8249,2025-04-27
Tomato,Bacterial Spot,978,0.47,-1.1491,-80.1827,2025-11-01
Tomato,Septoria Leaf Spot,4809,0.44,-1.5573,-77.9789,2025-08-06
Potato,Early Blight,1395,0.43,-1.5952,-78.7633,2026-02-23
Tomato,Leaf Mold,3063,0.85,-3.9318,-79.2501,2025-04-14
Potato,Late Blight,4683,0.31,-0.9324,-79.291,2025-07-10
Tomato,Target Spot,1147,0.31,-1.1366,-79.3043,2026-01-06
Tomato,Yellow Leaf Curl Virus,3794,0.51,-2.4209,-78.1019,2025-06-20
Potato,Late Blight,4690,0.96,-2.1594,-79.8076,2025-04-03
Tomato,Bacterial Spot,1455,0.42,0.4384,-77.9805,2025-04-12
Tomato,Late Blight,338,0.61,-0.6228,-76.9682,2025-08-06
Potato,Common Scab,1646,0.78,-0.9753,-77.6829,2025-03-25
Tomato,Yellow Leaf Curl Virus,4482,0.3,-1.0267,-79.4356,2025-07-19
Potato,Late Blight,3088,0.74,-2.893,-79.1216,2025-08-10
Potato,Black Scurf,2771,0.37,-1.9562,-79.8448,2025-11-07
Tomato,Late Blight,1641,0.79,-1.6845,-78.5853,2025-05-21
Potato,Early Blight,2692,0.17,-1.4847,-78.0181,2025-04-01
Potato,Common Scab,2670,0.59,-1.0087,-80.223,2025-06-26
Tomato,Late Blight,3760,0.9,-1.3974,-78.6749,2025-11-19
Tomato,Spider Mites,4187,0.75,-0.8634,-79.3566,2025-12-08
Tomato,Yellow Leaf Curl Virus,1517,0.16,-0.32,-77.1155,2025-04-03
Potato,Late Blight,1721,0.48,0.5248,-78.3201,2026-01-14
Potato,Early Blight,2645,0.78,-1.5635,-77.9973,2025-05-11
Potato,Black Scurf,2709,0.52,-0.4818,-77.0153,2025-03-26
Tomato,Bacterial Spot,4720,0.44,-0.2043,-78.3806,2026-01-17
Potato,Early Blight,765,0.76,-0.414,-77.0119,2025-12-26
Potato,Black Scurf,3180,0.37,-1.0188,-80.4229,2025-09-14
Tomato,Leaf Mold,3332,0.58,-1.4936,-77.9079,2025-06-14
Potato,Common Scab,4338,0.68,-0.0232,-76.9918,2025-12-16
Tomato,Target Spot,2430,0.99,-1.3242,-77.9537,2025-10-16
Potato,Early Blight,1365,0.55,-1.1969,-79.3821,2025-08-28
Tomato,Late Blight,3162,0.36,-2.318,-78.2687,2025-12-23
Tomato,Target Spot,1881,0.9,-1.1296,-77.9445,2025-10-05
